Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sun Jan 1 2023,8:00p,Boston Celtics,111,Denver Nuggets,123,Box Score,,19641,Ball Arena,
Sun Jan 1 2023,8:00p,Sacramento Kings,108,Memphis Grizzlies,118,Box Score,,17794,FedEx Forum,
Sun Jan 1 2023,8:00p,Washington Wizards,118,Milwaukee Bucks,95,Box Score,,17341,Fiserv Forum,
Mon Jan 2 2023,3:00p,Phoenix Suns,83,New York Knicks,102,Box Score,,19812,Madison Square Garden (IV),
Mon Jan 2 2023,7:00p,Los Angeles Lakers,121,Charlotte Hornets,115,Box Score,,19210,Spectrum Center,
Mon Jan 2 2023,7:00p,Chicago Bulls,134,Cleveland Cavaliers,145,Box Score,OT,19432,Rocket Mortgage Fieldhouse,
Mon Jan 2 2023,7:00p,Toronto Raptors,114,Indiana Pacers,122,Box Score,,14054,Gainbridge Fieldhouse,
Mon Jan 2 2023,7:00p,New Orleans Pelicans,111,Philadelphia 76ers,120,Box Score,,20531,Wells Fargo Center,
Mon Jan 2 2023,7:30p,San Antonio Spurs,103,Brooklyn Nets,139,Box Score,,18224,Barclays Center,
Mon Jan 2 2023,8:00p,Dallas Mavericks,111,Houston Rockets,106,Box Score,,18055,Toyota Center,
Mon Jan 2 2023,8:00p,Denver Nuggets,111,Minnesota Timberwolves,124,Box Score,,15962,Target Center,
Mon Jan 2 2023,10:00p,Atlanta Hawks,141,Golden State Warriors,143,Box Score,2OT,18064,Chase Center,
Mon Jan 2 2023,10:00p,Detroit Pistons,106,Portland Trail Blazers,135,Box Score,,19393,Moda Center,
Mon Jan 2 2023,10:30p,Miami Heat,110,Los Angeles Clippers,100,Box Score,,19068,Crypto.com Arena,
Tue Jan 3 2023,8:00p,Washington Wizards,113,Milwaukee Bucks,123,Box Score,,17341,Fiserv Forum,
Tue Jan 3 2023,8:00p,Boston Celtics,117,Oklahoma City Thunder,150,Box Score,,16778,Paycom Center,
Tue Jan 3 2023,9:00p,Sacramento Kings,117,Utah Jazz,115,Box Score,,18206,Vivint Arena,
Wed Jan 4 2023,7:00p,Memphis Grizzlies,131,Charlotte Hornets,107,Box Score,,19249,Spectrum Center,
Wed Jan 4 2023,7:00p,Phoenix Suns,88,Cleveland Cavaliers,90,Box Score,,19432,Rocket Mortgage Fieldhouse,
Wed Jan 4 2023,7:00p,Oklahoma City Thunder,115,Orlando Magic,126,Box Score,,18925,Amway Center,
Wed Jan 4 2023,7:00p,Indiana Pacers,126,Philadelphia 76ers,129,Box Score,OT,20033,Wells Fargo Center,
Wed Jan 4 2023,7:30p,San Antonio Spurs,114,New York Knicks,117,Box Score,,19812,Madison Square Garden (IV),
Wed Jan 4 2023,7:30p,Milwaukee Bucks,104,Toronto Raptors,101,Box Score,OT,19800,Scotiabank Arena,
Wed Jan 4 2023,8:00p,Brooklyn Nets,112,Chicago Bulls,121,Box Score,,21418,United Center,
Wed Jan 4 2023,8:00p,Portland Trail Blazers,106,Minnesota Timberwolves,113,Box Score,,15434,Target Center,
Wed Jan 4 2023,8:00p,Houston Rockets,108,New Orleans Pelicans,119,Box Score,,17295,Smoothie King Center,
Wed Jan 4 2023,10:00p,Detroit Pistons,122,Golden State Warriors,119,Box Score,,18064,Chase Center,
Wed Jan 4 2023,10:00p,Miami Heat,109,Los Angeles Lakers,112,Box Score,,18997,Crypto.com Arena,
Wed Jan 4 2023,10:00p,Atlanta Hawks,120,Sacramento Kings,117,Box Score,,17611,Golden 1 Center,
Thu Jan 5 2023,7:00p,Memphis Grizzlies,123,Orlando Magic,115,Box Score,,19184,Amway Center,
Thu Jan 5 2023,7:30p,Boston Celtics,124,Dallas Mavericks,95,Box Score,,20413,American Airlines Center,
Thu Jan 5 2023,8:00p,Utah Jazz,131,Houston Rockets,114,Box Score,,16320,Toyota Center,
Thu Jan 5 2023,10:00p,Los Angeles Clippers,91,Denver Nuggets,122,Box Score,,19087,Ball Arena,
Fri Jan 6 2023,7:00p,Portland Trail Blazers,99,Indiana Pacers,108,Box Score,,16548,Gainbridge Fieldhouse,
Fri Jan 6 2023,7:00p,Chicago Bulls,126,Philadelphia 76ers,112,Box Score,,20766,Wells Fargo Center,
Fri Jan 6 2023,7:30p,Brooklyn Nets,108,New Orleans Pelicans,102,Box Score,,18636,Smoothie King Center,
Fri Jan 6 2023,7:30p,New York Knicks,112,Toronto Raptors,108,Box Score,,19800,Scotiabank Arena,
Fri Jan 6 2023,8:00p,Charlotte Hornets,138,Milwaukee Bucks,109,Box Score,,17627,Fiserv Forum,
Fri Jan 6 2023,8:00p,Washington Wizards,110,Oklahoma City Thunder,127,Box Score,,14790,Paycom Center,
Fri Jan 6 2023,8:00p,Detroit Pistons,109,San Antonio Spurs,121,Box Score,,13107,AT&T Center,
Fri Jan 6 2023,9:00p,Cleveland Cavaliers,108,Denver Nuggets,121,Box Score,,19638,Ball Arena,
Fri Jan 6 2023,9:00p,Los Angeles Clippers,115,Minnesota Timberwolves,128,Box Score,,17136,Target Center,
Fri Jan 6 2023,10:00p,Miami Heat,104,Phoenix Suns,96,Box Score,,17071,Footprint Center,
Fri Jan 6 2023,10:30p,Atlanta Hawks,114,Los Angeles Lakers,130,Box Score,,18997,Crypto.com Arena,
Sat Jan 7 2023,6:00p,Boston Celtics,121,San Antonio Spurs,116,Box Score,,18354,AT&T Center,
Sat Jan 7 2023,8:00p,Utah Jazz,118,Chicago Bulls,126,Box Score,,21694,United Center,
Sat Jan 7 2023,8:00p,New Orleans Pelicans,117,Dallas Mavericks,127,Box Score,,20300,American Airlines Center,
Sat Jan 7 2023,8:30p,Orlando Magic,115,Golden State Warriors,101,Box Score,,18064,Chase Center,
Sat Jan 7 2023,10:00p,Los Angeles Lakers,136,Sacramento Kings,134,Box Score,,17611,Golden 1 Center,
Sun Jan 8 2023,3:00p,Philadelphia 76ers,123,Detroit Pistons,111,Box Score,,18898,Little Caesars Arena,
Sun Jan 8 2023,3:30p,Portland Trail Blazers,105,Toronto Raptors,117,Box Score,,19800,Scotiabank Arena,
Sun Jan 8 2023,5:00p,Charlotte Hornets,111,Indiana Pacers,116,Box Score,,15805,Gainbridge Fieldhouse,
Sun Jan 8 2023,6:00p,Utah Jazz,118,Memphis Grizzlies,123,Box Score,,17794,FedEx Forum,
Sun Jan 8 2023,6:00p,Brooklyn Nets,102,Miami Heat,101,Box Score,,19901,FTX Arena,
Sun Jan 8 2023,7:00p,Minnesota Timberwolves,104,Houston Rockets,96,Box Score,,18055,Toyota Center,
Sun Jan 8 2023,7:00p,Dallas Mavericks,109,Oklahoma City Thunder,120,Box Score,,16317,Paycom Center,
Sun Jan 8 2023,8:00p,Cleveland Cavaliers,112,Phoenix Suns,98,Box Score,,17071,Footprint Center,
Sun Jan 8 2023,9:00p,Atlanta Hawks,112,Los Angeles Clippers,108,Box Score,,19068,Crypto.com Arena,
Mon Jan 9 2023,7:00p,New Orleans Pelicans,132,Washington Wizards,112,Box Score,,16223,Capital One Arena,
Mon Jan 9 2023,7:30p,Chicago Bulls,99,Boston Celtics,107,Box Score,,19156,TD Garden,
Mon Jan 9 2023,7:30p,Milwaukee Bucks,111,New York Knicks,107,Box Score,,18167,Madison Square Garden (IV),
Mon Jan 9 2023,8:00p,San Antonio Spurs,113,Memphis Grizzlies,121,Box Score,,16013,FedEx Forum,
Mon Jan 9 2023,9:00p,Los Angeles Lakers,109,Denver Nuggets,122,Box Score,,19609,Ball Arena,
Mon Jan 9 2023,10:00p,Orlando Magic,111,Sacramento Kings,136,Box Score,,16499,Golden 1 Center,
Tue Jan 10 2023,7:00p,Detroit Pistons,116,Philadelphia 76ers,147,Box Score,,20221,Wells Fargo Center,
Tue Jan 10 2023,7:30p,Oklahoma City Thunder,111,Miami Heat,112,Box Score,,19600,FTX Arena,
Tue Jan 10 2023,7:30p,Charlotte Hornets,120,Toronto Raptors,132,Box Score,,19800,Scotiabank Arena,
Tue Jan 10 2023,9:00p,Cleveland Cavaliers,114,Utah Jazz,116,Box Score,,18206,Vivint Arena,
Tue Jan 10 2023,10:00p,Phoenix Suns,125,Golden State Warriors,113,Box Score,,18064,Chase Center,
Tue Jan 10 2023,10:00p,Orlando Magic,109,Portland Trail Blazers,106,Box Score,,18176,Moda Center,
Tue Jan 10 2023,10:30p,Dallas Mavericks,101,Los Angeles Clippers,113,Box Score,,15828,Crypto.com Arena,
Wed Jan 11 2023,7:00p,Minnesota Timberwolves,118,Detroit Pistons,135,Box Score,,15906,Little Caesars Arena,
Wed Jan 11 2023,7:00p,Chicago Bulls,97,Washington Wizards,100,Box Score,,17032,Capital One Arena,
Wed Jan 11 2023,7:30p,Milwaukee Bucks,114,Atlanta Hawks,105,Box Score,,17154,State Farm Arena,
Wed Jan 11 2023,7:30p,New Orleans Pelicans,114,Boston Celtics,125,Box Score,,19156,TD Garden,
Wed Jan 11 2023,7:30p,Indiana Pacers,113,New York Knicks,119,Box Score,,18249,Madison Square Garden (IV),
Wed Jan 11 2023,8:00p,San Antonio Spurs,129,Memphis Grizzlies,135,Box Score,,16454,FedEx Forum,
Wed Jan 11 2023,10:00p,Phoenix Suns,97,Denver Nuggets,126,Box Score,,18872,Ball Arena,
Wed Jan 11 2023,10:00p,Houston Rockets,115,Sacramento Kings,135,Box Score,,16057,Golden 1 Center,
Thu Jan 12 2023,7:00p,Oklahoma City Thunder,133,Philadelphia 76ers,114,Box Score,,20892,Wells Fargo Center,
Thu Jan 12 2023,7:30p,Boston Celtics,109,Brooklyn Nets,98,Box Score,,18125,Barclays Center,
Thu Jan 12 2023,7:30p,Milwaukee Bucks,102,Miami Heat,108,Box Score,,19600,FTX Arena,
Thu Jan 12 2023,7:30p,Charlotte Hornets,114,Toronto Raptors,124,Box Score,,19800,Scotiabank Arena,
Thu Jan 12 2023,10:00p,Dallas Mavericks,119,Los Angeles Lakers,115,Box Score,2OT,18997,Crypto.com Arena,
